,Salary,Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Last Name,First Name,Position,Team,GP,G,A,A1,A2,PTS,+/-,E+/-,PIM,Shifts,TOI,TOIX,TOI/GP,TOI/GP.1,TOI%,IPP%,SH%,SV%,PDO,F/60,A/60,Pct%,Diff,Diff/60,iCF,iCF.1,iFF,iSF,iSF.1,iSF.2,ixG,iSCF,iRB,iRS,iDS,sDist,sDist.1,Pass,iHF,iHF.1,iHA,iHDf,iMiss,iGVA,iTKA,iBLK,iGVA.1,iTKA.1,iBLK.1,BLK%,iFOW,iFOL,iFOW.1,iFOL.1,FO%,%FOT,dzFOW,dzFOL,nzFOW,nzFOL,ozFOW,ozFOL,FOW.Up,FOL.Up,FOW.Down,FOL.Down,FOW.Close,FOL.Close,OTG,1G,GWG,ENG,PSG,PSA,G.Bkhd,G.Dflct,G.Slap,G.Snap,G.Tip,G.Wrap,G.Wrst,CBar ,Post,Over,Wide,S.Bkhd,S.Dflct,S.Slap,S.Snap,S.Tip,S.Wrap,S.Wrst,iPenT,iPenD,iPENT,iPEND,iPenDf,NPD,Min,Maj,Match,Misc,Game,CF,CA,FF,FA,SF,SA,xGF,xGA,SCF,SCA,GF,GA,RBF,RBA,RSF,RSA,DSF,DSA,FOW,FOL,HF,HA,GVA,TKA,PENT,PEND,OPS,DPS,PS,OTOI,Grit,DAP,Pace,GS,GS/G,G/GP,A/GP,YearBorn,age,BMI,Adjusted +/-,PIM/GP,iFF/GP,iSF/GP,ixG/GP,iSCF/GP,Pass/GP,iHF/GP,iHA/GP,iMiss/GP,iGVA/GP,iTKA/GP,iBLK/GP,iPEND/GP,iPENT/GP,SCF/GP,SCA/GP,GF/GP,GA/GP,Player Value,Difference in valuation
0,925000,97-01-30,Sainte-Marie,QC,CAN,CAN,74,190,2015.0,1.0,18.0,L,Chabot,Thomas,D,OTT,1,0,0,0,0,0,-2,0.0,0,13,429,7.2,7.15,7.16,15.2,0.0,0.0,0.75,750.0,0.0,16.74,0.0,-2,-16.74,2.0,2,2.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,43.0,49.3,0.0,1,1.0,0.0,1.0,1,1,0,0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,9.0,12.0,8.0,10.0,5.0,8.0,0.5,0.9,2.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,1,2,4.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,-0.2,-0.2,40.03,1,0.0,175.7,-0.4,-0.38,0.0,0.0,1997,25,6712502.704000001,-2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,1233993.8400455164,308993.8400455164
1,2250000,93-12-21,Ottawa,ON,CAN,CAN,74,207,2012.0,1.0,15.0,R,Ceci,Cody,D,OTT,79,2,15,6,9,17,-11,-10.4,20,2418,109992,1826.2,23.2,23.17,39.0,30.4,7.4,0.915,989.0,1.84,2.79,39.7,-29,-0.95,287.0,287,197.0,143.0,143,143,6.1,7.0,7.0,9.0,16.0,52.4,46.3,138.1,111,111.0,154.0,-43.0,54,74,22,159,74.0,22.0,159.0,8.0,1,0,1.0,0.0,100.0,0.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,51,2,0,49,12,0,1,79,10,6,10.0,5.0,-4,2.2,10,0,0,0,0,1433.0,1992.0,1038.0,1423.0,757.0,997.0,62.0,88.8,197.0,280.0,56.0,85.0,68.0,82.0,79.0,94.0,147,176,949.0,939.0,749.0,671.0,284.0,197.0,104.0,98.0,-0.2,3.4,3.2,2850.59,290,13.3,112.5,14.1,0.18,0.02531645569620253,0.189873417721519,1993,29,7313095.051200001,-0.5999999999999996,0.25316455696202533,2.4936708860759493,1.8101265822784811,0.07721518987341772,0.08860759493670886,1.7481012658227848,1.4050632911392404,1.9493670886075949,0.6835443037974683,0.9367088607594937,0.27848101265822783,2.0126582278481013,0.06329113924050633,0.12658227848101267,2.4936708860759493,3.5443037974683542,0.7088607594936709,1.0759493670886076,2088578.2326185366,-161421.76738146343
2,8000000,88-04-16,St. Paul,MN,USA,USA,72,218,2006.0,1.0,7.0,R,Okposo,Kyle,RW,BUF,65,19,26,13,13,45,-7,-1.4,24,1443,73983,1229.2,18.97,18.95,33.1,63.4,9.7,0.934,1031.0,3.47,1.95,64.0,31,1.51,283.0,283,212.0,155.0,156,156,17.4,64.0,16.0,20.0,36.0,28.4,26.3,196.8,53,53.0,68.0,-15.0,57,36,26,25,36.0,26.0,25.0,2.4,54,45,54.0,45.0,54.5,7.4,9,6,10,11,35,28,13,10,21,16,37,33,1,5,2,0,0,0,5,2,0,3,0,0,9,0,2,4,51,19,3,3,20,8,2,101,12,10,11.0,8.0,-2,-0.5,12,0,0,0,0,1301.0,1051.0,986.0,826.0,734.0,606.0,70.8,46.4,235.0,133.0,71.0,40.0,60.0,34.0,76.0,52.0,136,86,739.0,600.0,340.0,351.0,168.0,129.0,56.0,70.0,3.7,1.3,5.0,2486.75,102,6.6,114.8,36.8,0.57,0.2923076923076923,0.4,1988,34,7291030.5792000005,-5.6,0.36923076923076925,3.2615384615384615,2.3846153846153846,0.2676923076923077,0.9846153846153847,3.0276923076923077,0.8153846153846154,1.0461538461538462,0.8769230769230769,0.5538461538461539,0.4,0.38461538461538464,0.12307692307692308,0.16923076923076924,3.6153846153846154,2.046153846153846,1.0923076923076922,0.6153846153846154,5346437.938440851,-2653562.061559149
3,3500000,92-01-07,Ottawa,ON,CAN,CAN,77,220,2010.0,1.0,3.0,R,Gudbranson,Erik,D,VAN,30,1,5,5,0,6,-14,-5.3,18,765,36603,607.9,20.33,20.31,36.1,37.5,6.2,0.897,959.0,1.58,3.45,31.4,-19,-1.88,88.0,88,55.0,40.0,40,40,1.4,2.0,1.0,4.0,5.0,55.1,51.0,153.0,66,66.0,66.0,0.0,15,23,4,44,23.0,4.0,44.0,7.3,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,18,3,0,0,19,6,7,6.0,6.0,1,2.7,4,2,0,0,0,460.0,605.0,339.0,467.0,259.0,340.0,22.0,33.6,80.0,130.0,16.0,35.0,27.0,20.0,29.0,32.0,56,52,324.0,328.0,198.0,197.0,86.0,59.0,26.0,22.0,0.0,0.4,0.5,1074.41,130,17.5,105.1,5.9,0.2,0.03333333333333333,0.16666666666666666,1992,30,8415338.008000001,-8.7,0.6,1.8333333333333333,1.3333333333333333,0.04666666666666666,0.06666666666666667,5.1,2.2,2.2,0.5,0.7666666666666667,0.13333333333333333,1.4666666666666666,0.2,0.2,2.6666666666666665,4.333333333333333,0.5333333333333333,1.1666666666666667,2077715.4041201703,-1422284.5958798297
4,1750000,94-03-29,Toronto,ON,CAN,CAN,76,217,2012.0,1.0,16.0,R,Wilson,Tom,RW,WSH,82,7,12,4,8,19,9,4.1,133,1453,63592,1059.7,12.93,12.93,23.5,61.3,7.8,0.917,995.0,1.76,2.32,43.1,-10,-0.57,166.0,166,118.0,95.0,95,95,9.3,35.0,8.0,10.0,18.0,30.9,26.4,96.3,239,239.0,134.0,105.0,23,21,36,44,21.0,36.0,44.0,4.4,3,7,3.0,7.0,30.0,1.0,1,1,0,2,2,4,3,1,0,3,2,6,0,2,0,1,0,0,0,0,0,0,1,0,6,0,2,1,20,7,2,3,10,11,1,61,44,33,40.0,29.0,-11,-14.3,33,9,0,1,1,766.0,992.0,546.0,720.0,398.0,495.0,33.5,47.5,124.0,159.0,31.0,41.0,30.0,37.0,43.0,53.0,73,90,528.0,490.0,512.0,422.0,157.0,126.0,88.0,68.0,-0.1,1.4,1.3,3459.09,425,8.3,99.5,21.8,0.27,0.08536585365853659,0.14634146341463414,1994,28,8086383.827199999,4.9,1.6219512195121952,1.4390243902439024,1.1585365853658536,0.11341463414634147,0.4268292682926829,1.174390243902439,2.9146341463414633,1.6341463414634145,0.2804878048780488,0.25609756097560976,0.43902439024390244,0.5365853658536586,0.35365853658536583,0.4878048780487805,1.5121951219512195,1.9390243902439024,0.3780487804878049,0.5,1374154.1248056705,-375845.87519432954
5,1500000,79-05-23,Strathroy,ON,CAN,CAN,70,192,1997.0,6.0,156.0,L,Campbell,Brian,D,CHI,80,5,12,6,6,17,12,0.7,24,1896,88462,1473.7,18.43,18.43,32.4,23.9,9.8,0.936,1033.0,2.89,1.91,60.2,24,0.98,171.0,171,110.0,75.0,74,75,4.5,7.0,2.0,3.0,5.0,46.1,41.9,95.7,43,43.0,157.0,-114.0,35,59,11,83,59.0,11.0,83.0,6.5,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,2,0,1,6,28,2,0,32,9,1,0,30,12,11,12.0,8.0,-1,5.4,12,0,0,0,0,1356.0,1281.0,971.0,972.0,728.0,730.0,62.9,59.9,210.0,197.0,71.0,47.0,30.0,56.0,58.0,85.0,88,141,570.0,667.0,348.0,707.0,223.0,168.0,76.0,60.0,0.6,3.7,4.3,3069.81,150,4.5,107.4,20.8,0.26,0.0625,0.15,1979,43,6069665.280000001,11.3,0.3,1.375,0.9375,0.05625,0.0875,1.19625,0.5375,1.9625,0.4375,0.7375,0.1375,1.0375,0.1,0.15,2.625,2.4625,0.8875,0.5875,1760308.3121347025,260308.31213470246
8,1250000,92-06-14,Scarborough,ON,CAN,CAN,72,214,2010.0,2.0,42.0,R,Smith-Pelly,Devante,RW/C/LW,N.J,53,4,5,2,3,9,-19,-7.9,12,975,42950,717.7,13.57,13.54,24.2,81.8,4.0,0.924,964.0,0.92,2.42,27.5,-18,-1.5,108.0,109,97.0,74.0,76,76,7.8,31.0,4.0,1.0,5.0,26.6,25.4,84.0,94,94.0,53.0,41.0,24,14,17,32,14.0,17.0,32.0,4.4,29,42,29.0,42.0,40.8,11.5,7,9,9,12,13,21,10,18,10,11,17,26,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,3,21,8,0,4,19,8,0,37,6,9,6.0,6.0,3,1.8,6,0,0,0,0,484.0,724.0,380.0,548.0,277.0,384.0,23.8,33.7,74.0,105.0,11.0,29.0,11.0,17.0,13.0,36.0,24,53,286.0,330.0,292.0,240.0,85.0,69.0,47.0,40.0,-0.6,0.3,-0.3,2250.18,138,18.5,101.0,2.0,0.04,0.07547169811320754,0.09433962264150944,1992,30,7157250.2016,-11.1,0.22641509433962265,1.830188679245283,1.3962264150943395,0.1471698113207547,0.5849056603773585,1.5849056603773586,1.7735849056603774,1.0,0.4528301886792453,0.2641509433962264,0.32075471698113206,0.6037735849056604,0.11320754716981132,0.11320754716981132,1.3962264150943395,1.9811320754716981,0.20754716981132076,0.5471698113207547,1110609.5605967229,-139390.43940327712
9,925000,93-04-27,Petawawa,ON,CAN,CAN,68,178,2011.0,7.0,201.0,L,Peca,Matthew,C,T.B,10,1,1,1,0,2,-3,-2.6,2,159,6867,114.3,11.45,11.44,23.4,100.0,4.4,0.907,952.0,1.05,2.63,28.6,-3,-1.58,24.0,24,17.0,9.0,9,9,0.9,3.0,0.0,1.0,1.0,24.9,28.4,45.8,9,9.0,16.0,-7.0,8,2,0,2,2.0,0.0,2.0,2.2,32,40,32.0,40.0,44.4,74.2,8,10,13,17,11,13,16,14,7,10,18,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,1,1,1,0,6,1,0,1.0,0.0,-1,-0.9,1,0,0,0,0,103.0,91.0,66.0,73.0,45.0,54.0,2.6,3.7,5.0,11.0,2.0,5.0,3.0,1.0,2.0,4.0,5,5,45.0,52.0,52.0,47.0,15.0,6.0,8.0,7.0,0.0,0.0,0.0,373.48,13,9.0,101.9,2.1,0.21,0.1,0.1,1993,29,5310131.3152,-0.3999999999999999,0.2,1.7,0.9,0.09,0.3,4.58,0.9,1.6,0.8,0.2,0.0,0.2,0.0,0.1,0.5,1.1,0.2,0.5,887682.3545015961,-37317.64549840393
11,600000,92-04-09,Ile Bizard,QC,CAN,CAN,74,204,2010.0,3.0,89.0,L,Chaput,Michael,C,VAN,68,4,5,2,3,9,-12,-5.7,29,1115,44970,749.1,11.02,11.02,20.5,56.3,4.7,0.924,971.0,1.28,2.48,34.0,-15,-1.2,113.0,113,80.0,64.0,64,64,6.6,29.0,9.0,5.0,14.0,28.4,24.5,79.0,68,68.0,52.0,16.0,16,14,13,29,14.0,13.0,29.0,4.0,203,182,203.0,182.0,52.7,59.5,61,60,86,70,56,52,74,59,65,68,143,116,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,15,5,5,5,5,4,0,40,13,8,13.0,7.0,-5,-5.9,12,1,0,0,0,611.0,733.0,450.0,555.0,339.0,409.0,22.9,32.5,81.0,102.0,16.0,31.0,18.0,26.0,25.0,23.0,43,49,330.0,317.0,327.0,307.0,71.0,77.0,45.0,38.0,-0.8,0.5,-0.3,2903.93,127,6.8,107.6,5.7,0.08,0.058823529411764705,0.07352941176470588,1992,30,7207108.1664,-6.3,0.4264705882352941,1.1764705882352942,0.9411764705882353,0.09705882352941175,0.4264705882352941,1.161764705882353,1.0,0.7647058823529411,0.23529411764705882,0.20588235294117646,0.19117647058823528,0.4264705882352941,0.10294117647058823,0.19117647058823528,1.1911764705882353,1.5,0.23529411764705882,0.45588235294117646,735861.9751860838,135861.97518608382
12,1000000,88-03-17,Brandon,MB,CAN,CAN,72,200,2006.0,3.0,66.0,R,White,Ryan,C,ARI/MIN,65,9,7,4,3,16,-16,-9.0,84,948,41566,692.7,10.65,10.65,20.7,76.2,6.8,0.894,962.0,1.82,3.38,35.0,-18,-1.56,103.0,103,81.0,60.0,60,60,5.5,21.0,7.0,9.0,16.0,32.1,30.5,105.1,187,187.0,69.0,118.0,21,10,11,33,10.0,11.0,33.0,4.7,39,52,39.0,52.0,42.9,14.3,17,23,9,7,13,22,11,20,11,18,29,29,0,0,1,0,0,0,1,0,0,2,2,0,4,0,0,3,18,1,0,7,6,2,0,44,21,7,15.0,7.0,-14,-7.0,12,6,0,3,0,560.0,700.0,421.0,539.0,309.0,368.0,21.3,32.1,63.0,99.0,21.0,39.0,26.0,25.0,30.0,27.0,56,52,320.0,318.0,497.0,300.0,62.0,51.0,43.0,36.0,0.8,0.1,0.9,2649.17,310,16.5,109.1,7.8,0.12,0.13846153846153847,0.1076923076923077,1988,34,6689018.880000001,-7.0,1.2923076923076924,1.2461538461538462,0.9230769230769231,0.08461538461538462,0.3230769230769231,1.616923076923077,2.876923076923077,1.0615384615384615,0.3230769230769231,0.15384615384615385,0.16923076923076924,0.5076923076923077,0.1076923076923077,0.23076923076923078,0.9692307692307692,1.523076923076923,0.3230769230769231,0.6,1746520.096673051,746520.0966730509
13,925000,96-06-20,Holland Landing,ON,CAN,CAN,73,186,2014.0,1.0,4.0,L,Bennett,Sam,C,CGY,81,13,13,7,6,26,-16,-0.6,75,1613,72839,1212.7,14.98,14.98,26.2,65.0,7.7,0.906,983.0,1.98,2.62,43.0,-13,-0.64,215.0,215,169.0,122.0,122,122,13.3,45.0,12.0,19.0,31.0,27.0,26.6,211.4,127,127.0,66.0,61.0,47,25,43,46,25.0,43.0,46.0,4.4,374,437,374.0,437.0,46.1,72.1,115,125,141,163,118,149,118,137,127,159,219,255,0,3,0,1,0,0,0,0,2,1,1,0,9,1,0,9,37,13,0,5,9,16,2,77,33,21,32.0,16.0,-12,-11.9,30,3,0,0,0,1004.0,1048.0,739.0,778.0,519.0,562.0,40.8,46.3,115.0,150.0,40.0,53.0,21.0,28.0,52.0,45.0,73,73,537.0,588.0,426.0,334.0,213.0,175.0,85.0,80.0,0.8,0.8,1.6,3411.7,251,5.7,101.5,21.6,0.27,0.16049382716049382,0.16049382716049382,1996,26,6394787.210400001,-15.4,0.9259259259259259,2.0864197530864197,1.5061728395061729,0.16419753086419753,0.5555555555555556,2.6098765432098765,1.5679012345679013,0.8148148148148148,0.5802469135802469,0.30864197530864196,0.5308641975308642,0.5679012345679012,0.19753086419753085,0.3950617283950617,1.4197530864197532,1.8518518518518519,0.49382716049382713,0.654320987654321,1046898.3294590734,121898.32945907337
14,950000,89-04-20,Red Deer,AB,CAN,CAN,72,195,2007.0,4.0,112.0,R,Sceviour,Colton,C/RW,FLA,80,9,15,9,6,24,-16,-6.5,25,1596,70241,1169.7,14.63,14.63,26.0,68.6,6.3,0.911,974.0,1.8,2.82,38.9,-20,-1.03,264.0,264,220.0,172.0,172,172,14.5,51.0,17.0,13.0,30.0,31.2,28.7,265.1,108,108.0,93.0,15.0,48,23,40,64,23.0,40.0,64.0,5.8,31,27,31.0,27.0,53.4,5.2,12,10,6,4,13,13,15,10,7,10,18,15,0,2,1,0,0,0,1,0,0,1,0,0,7,0,2,1,45,18,1,24,34,5,9,81,10,12,11.0,7.0,2,-7.4,9,1,0,0,0,962.0,1113.0,740.0,838.0,556.0,619.0,41.5,54.1,123.0,171.0,35.0,55.0,33.0,42.0,51.0,52.0,84,94,543.0,572.0,482.0,360.0,177.0,157.0,66.0,67.0,0.4,0.9,1.3,3327.53,198,16.4,106.4,27.4,0.34,0.1125,0.1875,1989,33,6521793.408000001,-9.5,0.3125,2.75,2.15,0.18125,0.6375,3.31375,1.35,1.1625,0.6,0.2875,0.5,0.8,0.0875,0.1375,1.5375,2.1375,0.4375,0.6875,2065847.3274916713,1115847.3274916713
15,680000,94-01-06,Edmonton,AB,CAN,CAN,74,187,2012.0,4.0,105.0,L,Kulak,Brett,D,CGY,21,0,3,2,1,3,-3,-0.4,12,415,17945,299.1,14.25,14.24,27.9,42.9,5.2,0.921,973.0,1.4,2.41,36.8,-5,-1.0,53.0,53,30.0,19.0,19,19,1.0,1.0,1.0,4.0,5.0,54.7,46.3,74.4,14,14.0,15.0,-1.0,11,10,4,13,10.0,4.0,13.0,5.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,6,0,0,5,6,1,5.0,0.0,-5,-3.5,6,0,0,0,0,271.0,262.0,187.0,205.0,134.0,152.0,11.7,12.1,36.0,33.0,7.0,12.0,12.0,9.0,15.0,15.0,27,24,128.0,127.0,145.0,115.0,55.0,30.0,22.0,24.0,-0.1,0.4,0.4,771.85,39,3.0,106.9,3.0,0.14,0.0,0.14285714285714285,1994,28,6606515.819200001,-2.6,0.5714285714285714,1.4285714285714286,0.9047619047619048,0.047619047619047616,0.047619047619047616,3.542857142857143,0.6666666666666666,0.7142857142857143,0.5238095238095238,0.47619047619047616,0.19047619047619047,0.6190476190476191,0.0,0.23809523809523808,1.7142857142857142,1.5714285714285714,0.3333333333333333,0.5714285714285714,721783.7027142959,41783.70271429594
16,590000,92-04-24,Oakville,ON,CAN,CAN,71,183,2011.0,7.0,209.0,L,Wilson,Scott,LW/C,PIT,78,8,18,11,7,26,0,7.8,32,1253,51220,853.5,10.95,10.95,21.7,72.2,7.8,0.916,994.0,2.53,2.46,50.7,1,0.07,215.0,214,172.0,127.0,127,127,13.9,52.0,8.0,10.0,18.0,27.0,25.6,249.0,167,167.0,171.0,-4.0,45,11,20,31,11.0,20.0,31.0,3.9,3,0,3.0,0.0,100.0,0.4,0,0,1,0,2,0,1,0,2,0,3,0,0,3,1,0,0,1,3,1,1,0,0,0,3,1,6,4,34,15,2,8,23,13,5,61,9,20,9.0,19.0,11,11.3,6,2,0,1,0,820.0,791.0,624.0,565.0,462.0,419.0,45.0,37.6,152.0,129.0,36.0,35.0,50.0,42.0,37.0,31.0,87,73,391.0,398.0,497.0,545.0,109.0,74.0,44.0,57.0,1.4,0.6,2.0,3086.34,232,31.2,113.3,29.6,0.38,0.10256410256410256,0.23076923076923078,1992,30,5951620.354800001,-7.8,0.41025641025641024,2.2051282051282053,1.6282051282051282,0.1782051282051282,0.6666666666666666,3.1923076923076925,2.141025641025641,2.1923076923076925,0.5769230769230769,0.14102564102564102,0.2564102564102564,0.3974358974358974,0.24358974358974358,0.11538461538461539,1.9487179487179487,1.6538461538461537,0.46153846153846156,0.44871794871794873,721676.0469969282,131676.04699692817
17,650000,91-05-13,St. Catharines,ON,CAN,CAN,74,203,2009.0,3.0,70.0,R,Beck,Taylor,LW,EDM/NYR,5,0,0,0,0,0,-3,-1.4,4,70,2643,44.0,8.82,8.81,17.2,0.0,0.0,0.87,870.0,0.0,4.09,0.0,-3,-4.09,11.0,11,5.0,5.0,5,5,0.3,2.0,0.0,0.0,0.0,23.6,23.3,0.0,5,5.0,6.0,-1.0,0,2,1,0,2.0,1.0,0.0,0.0,0,1,0.0,1.0,0.0,2.6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,2,0,1.0,0.0,-2,-1.0,2,0,0,0,0,33.0,44.0,20.0,32.0,15.0,23.0,0.9,3.0,4.0,12.0,0.0,3.0,0.0,4.0,1.0,1.0,1,5,19.0,19.0,21.0,20.0,10.0,2.0,3.0,2.0,-0.1,-0.1,-0.2,212.16,9,3.0,104.9,-0.9,-0.18,0.0,0.0,1991,31,7171779.2048,-1.6,0.8,1.0,1.0,0.06,0.4,0.0,1.0,1.2,0.0,0.4,0.2,0.0,0.0,0.2,0.8,2.4,0.0,0.6,687291.7019208237,37291.70192082366
19,600000,90-10-08,Faribault,MN,USA,USA,76,210,2009.0,4.0,114.0,L,Helgeson,Seth,D,N.J,9,1,0,0,0,1,2,0.4,15,177,7273,121.2,13.47,13.47,26.3,25.0,8.3,0.934,1018.0,1.98,1.98,50.0,0,0.0,11.0,11,8.0,3.0,3,3,0.2,0.0,0.0,0.0,0.0,53.0,44.3,0.0,16,16.0,6.0,10.0,5,0,0,11,0.0,0.0,11.0,9.9,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,2,0,0,0,3,0,3.0,1.0,-3,-1.5,0,3,0,0,0,90.0,111.0,74.0,81.0,48.0,61.0,4.4,5.3,13.0,11.0,4.0,4.0,2.0,8.0,0.0,6.0,2,14,55.0,62.0,63.0,34.0,8.0,5.0,11.0,5.0,0.1,0.5,0.6,340.46,45,0.0,99.5,1.0,0.11,0.1111111111111111,0.0,1990,32,7825532.736,1.6,1.6666666666666667,0.8888888888888888,0.3333333333333333,0.022222222222222223,0.0,0.0,1.7777777777777777,0.6666666666666666,0.5555555555555556,0.0,0.0,1.2222222222222223,0.1111111111111111,0.3333333333333333,1.4444444444444444,1.2222222222222223,0.4444444444444444,0.4444444444444444,850361.1127575801,250361.11275758012
21,5250000,92-06-25,Wilcox,SK,CAN,CAN,70,188,2010.0,1.0,14.0,L,Schwartz,Jaden,LW/C,STL,78,19,36,24,12,55,14,8.7,18,2032,88482,1470.6,18.9,18.89,31.9,65.5,10.2,0.914,1016.0,3.43,2.16,61.3,31,1.26,303.0,303,241.0,179.0,179,179,22.0,80.0,17.0,16.0,33.0,26.2,23.9,360.7,71,71.0,110.0,-39.0,62,29,59,43,29.0,59.0,43.0,3.7,67,73,67.0,73.0,47.9,9.4,13,11,16,19,38,43,20,23,18,23,40,43,1,3,4,2,0,0,3,0,0,0,4,0,12,2,4,3,53,16,4,18,18,19,2,102,9,9,8.0,8.0,0,2.5,9,0,0,0,0,1503.0,1168.0,1108.0,854.0,827.0,618.0,73.8,49.2,239.0,153.0,84.0,53.0,56.0,31.0,57.0,50.0,113,81,780.0,713.0,367.0,479.0,141.0,167.0,65.0,68.0,4.1,2.3,6.4,3146.08,132,14.4,109.0,63.3,0.81,0.24358974358974358,0.46153846153846156,1992,30,5943213.920000001,5.300000000000001,0.23076923076923078,3.08974358974359,2.2948717948717947,0.28205128205128205,1.0256410256410255,4.624358974358974,0.9102564102564102,1.4102564102564104,0.7948717948717948,0.3717948717948718,0.7564102564102564,0.5512820512820513,0.10256410256410256,0.10256410256410256,3.0641025641025643,1.9615384615384615,1.0769230769230769,0.6794871794871795,4247043.703730525,-1002956.2962694746
24,717500,96-11-26,Colorado Springs,CO,USA,USA,77,203,2015.0,2.0,37.0,R,Carlo,Brandon,D,BOS,82,6,10,3,7,16,9,5.3,59,2080,102414,1699.7,20.72,20.75,36.6,22.2,8.5,0.908,993.0,2.54,2.89,46.8,-10,-0.35,179.0,179,130.0,88.0,88,88,3.8,5.0,3.0,4.0,7.0,54.5,45.3,68.6,87,87.0,145.0,-58.0,42,42,21,115,42.0,21.0,115.0,7.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,1,0,0,1,0,1,4,37,2,0,30,17,0,0,39,28,5,28.0,7.0,-23,-12.9,27,1,0,0,0,1485.0,1643.0,1138.0,1237.0,845.0,891.0,67.1,74.0,202.0,240.0,72.0,82.0,43.0,48.0,73.0,65.0,116,113,867.0,780.0,611.0,655.0,268.0,226.0,117.0,89.0,0.4,4.8,5.2,2942.85,262,4.0,110.4,24.7,0.3,0.07317073170731707,0.12195121951219512,1996,26,7765061.889200001,3.7,0.7195121951219512,1.5853658536585367,1.0731707317073171,0.046341463414634146,0.06097560975609756,0.8365853658536585,1.0609756097560976,1.7682926829268293,0.5121951219512195,0.5121951219512195,0.25609756097560976,1.4024390243902438,0.08536585365853659,0.34146341463414637,2.4634146341463414,2.926829268292683,0.8780487804878049,1.0,895709.6455983003,178209.64559830027
26,900000,98-03-14,St. Albert,AB,CAN,CAN,71,191,2016.0,1.0,10.0,L,Jost,Tyson,C/LW/RW,COL,6,1,0,0,0,1,-5,-1.5,0,121,5643,94.1,15.68,15.68,26.0,50.0,4.2,0.846,888.0,1.28,5.1,20.0,-6,-3.83,15.0,15,11.0,9.0,9,9,0.9,2.0,1.0,0.0,1.0,27.9,27.8,0.0,3,3.0,7.0,-4.0,2,1,3,3,1.0,3.0,3.0,3.2,28,42,28.0,42.0,40.0,87.5,9,15,11,13,8,14,5,15,6,12,19,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,2,0,0,4,0,2,0.0,2.0,2,2.1,0,0,0,0,0,90.0,95.0,65.0,76.0,48.0,52.0,3.2,4.2,10.0,13.0,2.0,8.0,1.0,4.0,3.0,0.0,4,4,34.0,46.0,35.0,17.0,5.0,11.0,3.0,7.0,0.0,-0.1,-0.1,267.39,6,0.0,118.0,0.6,0.1,0.16666666666666666,0.0,1998,24,6211800.4796,-3.5,0.0,1.8333333333333333,1.5,0.15,0.3333333333333333,0.0,0.5,1.1666666666666667,0.3333333333333333,0.16666666666666666,0.5,0.5,0.3333333333333333,0.0,1.6666666666666667,2.1666666666666665,0.3333333333333333,1.3333333333333333,1126261.251757308,226261.2517573079
